Non-trivial	Trivial
0.275547	0.06101
1.081328	0.827181
10.01066	4.284795
0.415397	0.50719
0.109031	0.104497
0.29347	0.183588
0.211479	0.298415
1.443252	1.864208
0.274243	0.132959
0.218809	0.15634
0.097056	0.116181
0.185881	0.207294
0.223672	0.285287
9.436246	12.87037
1.084809	1.19183
0.239565	0.128564
0.205865	0.18078
1.426099	1.239699
0.395161	0.260802
9.799309	12.25588
2.487106	2.087371
4.331026	2.590176
0.387176	0.791523
5.430946	1.904715
0.120426	0.279315
0.248794	0.190866
1.15755	0.853734
0.163514	0.21276
7.675951	7.038008
66.47396	69.55357
0.741411	2.193505
0.196723	0.231536
0.116873	0.148461
0.16482	0.303398
0.177852	0.182555
0.189888	0.286878
0.088675	0.139991
0.195282	0.138538
0.289525	0.153842
0.337712	0.112936
0.134785	0.194843
0.150752	0.135556
0.228374	0.148195
153.1895	189.2857
0.272547	0.167641
0.08826	0.209261
0.16225	0.107947
0.180722	0.158637
0.115769	0.14794
10	0
0.142393	0.123603
0.164204	0.193227
0.136908	0.236281
0.130659	0.164792
0.174984	0.132261
0.184923	0.314986
0.358328	0.173583
0.224746	0.3624
0.185347	0.913105
0.315028	0.471061
0.203486	0.184438
11.27537	9.186927
0.13362	0.26137
0.270483	0.193819
0.150365	0.205672
0.137136	0.213879
0.134876	0.14103
0.213161	0.142237
0.152285	0.13358
0.160804	0.20293
0.324618	0.293171
0.225933	0.275096
0.16535	0.192824
13.67075	8.75
0.183081	0.180288
0.217396	0.337355
0.212166	0.264117
0.220824	0.207682
0.157751	0.306535
0.152985	0.153974
0.243794	0.242294
3.679517	4.375868
0.136696	0.121552
1.40829	1.69063
4.412122	5.201123
6.266033	5.439416
5.123508	4.735842
14.68515	22.0023
3.181124	2.653532
0.903011	0.790617
3.99319	5.625045
1.201805	1.106382
5.726585	6.146457
11.23496	12.36967
1.143954	1.347981
14.36296	10.41289
57.995	27.19862
1.918915	1.748743
6.73206	5.488619
4.007636	4.418546
4.418838	3.14503
0.934027	1.335063
12.4871	9.883774
0.837897	0.664456
7.806627	7.516019
0.242801	0.314961
1.543707	2.131667
1.008277	0.897835
97.48825	99.40189
30.16373	31.22174
2.387259	2.383643
4.675824	5.9488
5.574168	8.763135
1.259226	0.84222
0.992205	0.823932
3.915459	2.488114
2.063021	2.011061
30.60772	37.13873
131.879	146.8772
8.493029	6.964391
20.7557	24.92935
6.392492	4.052983
21.55447	25.98447
3.537566	2.789683
1.592784	1.43049
21.76504	15.0716
3.088276	2.522208
11.66529	12.26911
2.595959	2.283747
3.301218	2.822037
7.224768	8.018571
0.654203	0.816728
3.513378	4.949285
1.728401	1.672282
0.662947	0.678123
14.64226	11.85427
2.221855	1.518069
17.66541	18.12451
2.331813	1.725008
17.0961	15.32679
5.913671	3.938629
13.92393	10.01374
1.113139	1.678992
1.976426	0.998094
3.359371	2.389052
18.55655	15.92168
6.38941	6.803792
4.63012	5.6961
1.012067	0.928337
2.319354	2.862184
38.66015	27.61779
3.928546	2.770117
3.290095	2.452826
2.188896	2.519392
2.025808	1.61121
12.57031	10.71963
1.058333	0.92556
1.809043	2.785864
1.246629	0.833194
11.81957	4.928729
5.733186	3.646524
11.53729	10.89345
16.64291	16.86668
16.40325	14.44932
2.035657	1.641802
2.886367	2.35808
7.712239	6.044575
9.88373	8.202888
9.65001	7.280742
3.834296	2.812876
33.60135	22.2963
3.473637	3.192317
1.598669	1.187267
61.40519	41.96478
44.50778	71.84128
4.768028	2.930878
20.4443	15.9844
2.647616	3.662316
0.68538	0.717749
3.769708	4.435432
16.33239	12.55225
2.126403	2.244157
1.298893	1.240494
2.9309	3.262848
1.64921	0.7769
4.209596	3.371997
3.058487	1.989856
2.970387	3.111824
13.12895	14.76385
0.432233	0.419786
0.706634	0.951245
19.68126	15.38214
9.7352	6.976863
1.52371	0.613504
1.725446	2.43852
1.508541	1.679133
2.424443	1.707318
2.643233	2.783004
2.285226	2.670328
2.502895	2.330374
1.221315	0.964194
3.957081	7.421144
3.080674	2.955521
8.79613	8.06236
11.07493	9.741943
54.77101	29.80642
1.237973	1.253
5.737399	5.473498
10.62034	10.24046
2.407986	3.095006
2.860971	2.556506
15.39841	14.75063
27.90832	22.35831
124.7319	73.67351
178.1022	181.933
2.638987	2.679999
73.12055	57.67196
0.692044	0.624688
5.69514	3.948638
4.11847	2.71583
0.761818	0.797161
2.251286	1.79165
15.13565	14.55006
0.979634	0.74684
1.817996	1.347652
5.065308	5.93342
94.92964	160.5292
3.867015	4.466083
111.1481	140.7114
1.078604	1.97385
31.00251	15.90455
8.327487	6.20673
15.59398	20.86499
4.898833	3.023283
49.61235	50.65785
13.30339	13.98231
5.876845	5.530307
1.987033	1.744982
4.462166	3.257704
5.098166	7.681072
2.313036	1.576216
30.98452	35.07856
