Non-trivial	Trivial
21.57538	11.00287
0.047598	0.091607
0.187229	0.103034
0.072468	0.109564
0.622276	0.324515
0.056494	0.052282
0.051432	0.049513
0.121861	0.062403
0.081308	0.103995
0.413887	0.251857
0.149859	0.09258
0.030168	0.041756
0.086325	0.068118
0.080267	0.072402
0.057054	0.062622
9.42136	4.898794
0.387227	0.5658
0.088784	0.053023
0.10196	0.044082
0.048258	0.058971
0.152962	0.062457
1.258295	1.13913
0.223587	0.182323
0.340188	0.172267
0.086771	0.089063
3.341842	1.522288
0.025926	0.067323
0.05512	0.052528
0.059098	0.036546
0.025535	0.027663
1.251451	0.985083
6.503948	2.566534
0.035571	0.059904
0.011282	0.032196
0.036538	0.060696
0.050452	0.03559
0.027736	0.046944
0.045996	0.061747
0.047759	0.047555
0.06735	0.076034
0.017166	0.030439
0.079853	0.032758
0.016198	0.041058
0.022352	0.037347
0.056387	0.04596
3.802783	2.271844
0.047792	0.05184
0.035669	0.069291
0.042002	0.074992
0.075048	0.042677
0.040534	0.045468
25	0
0.045912	0.060398
0.062912	0.083736
0.043033	0.083682
0.036465	0.052214
0.056102	0.033581
0.040463	0.060238
0.13287	0.072458
0.038514	0.055309
0.078673	0.094288
0.018422	0.048537
0.055995	0.05475
0.489968	0.378452
0.030585	0.057472
0.059343	0.064742
0.033987	0.049145
0.091373	0.063466
0.039406	0.045392
0.06345	0.04583
0.025202	0.049007
0.025217	0.048974
0.022486	0.034068
0.065867	0.0932
0.0332	0.044034
24.89066	4.045157
0.040664	0.046801
0.024647	0.029362
0.053162	0.053248
0.027241	0.033399
0.049897	0.051752
0.07126	0.044967
0.037308	0.043397
0.061258	0.06456
0.038735	0.064859
0.3613	0.337626
0.105948	0.115366
0.083365	0.097626
0.098196	0.114378
0.081824	0.077245
0.032952	0.065206
0.042454	0.066612
0.052339	0.035753
0.054447	0.049682
0.026075	0.036629
0.02934	0.044066
0.078386	0.060799
0.030441	0.042646
0.076537	0.086417
0.105585	0.098675
0.079507	0.149604
0.045433	0.086477
0.028166	0.091811
0.06121	0.115693
0.049618	0.109518
0.04061	0.049529
0.079319	0.099864
0.033282	0.053566
0.111082	0.077021
0.034195	0.072496
0.680458	0.452222
0.049979	0.123865
0.063639	0.040541
0.057057	0.07961
0.05689	0.051282
0.023864	0.061053
0.016454	0.067345
0.083502	0.076759
0.090933	0.056441
0.078909	0.096976
0.039262	0.124505
0.026171	0.040567
0.080043	0.088644
0.069935	0.116067
0.055892	0.091708
1.294852	1.015914
0.085056	0.079797
0.050203	0.071964
0.051917	0.089718
0.041625	0.078761
0.065156	0.070048
0.126929	0.0582
0.051934	0.063102
0.067887	0.104499
0.01917	0.063272
0.505988	0.724267
0.062361	0.105675
0.114376	0.101064
0.043334	0.059829
0.048002	0.094879
0.051257	0.067722
0.066058	0.110117
0.054252	0.081384
0.15647	0.110565
0.0333	0.068226
0.126708	0.038284
0.083838	0.073168
0.076429	0.101745
0.035469	0.060318
0.055203	0.078881
0.049679	0.09713
0.019267	0.068859
0.259916	0.22215
0.058192	0.081642
